ITEM,Item_Point,Mcc_Category,Manufacture,Gender_Ratio,Average_Age,Item_Level,Click_CNT,Product_Index_Log,Mcc_rank,First_ID,IS_Active
麥香阿薩姆奶茶PET600,467,超市/量販,7-11,0.293939393939394,40,2,165,A02_48_201610,20,A02_48_201610,1
統一麥香奶茶TP300,167,超市/量販,7-11,0.284788540245566,39,1,2932,A12_2_201606,20,A12_2_201606,1
熱巧克力牛奶(中),833,超市/量販,7-11,0.333333333333333,33,3,3,A02_53_201610,20,A02_53_201610,1
舒果新米蘭蔬食$438套餐乙份,7200,餐飲,王品集團,0.200729927007299,42,5,274,A02_67_201608,23,A02_67_201608,1
高雄國賓 i River 愛河牛排海鮮自助餐廳 (平日午餐吃到飽)特別優惠組,13063,飯店/住宿,國賓大飯店,0.265625,42,5,256,A02_97_201610,21,A02_97_201610,1
50元飲品任選乙份(限To-Go門市使用),867,餐飲,天仁茶業,0.169776119402985,35,3,804,A02_8_201608,23,A02_8_201608,1
豚丼(大)乙份,1683,餐飲,吉野家,0.242857142857143,42,4,210,A02_36_201608,23,A02_25_201606,1
下午茶蛋糕組(中杯本日咖啡+精選蛋糕),2200,餐飲,喜客券伯朗咖啡館 ,0.283464566929134,42,5,127,A02_51_201608,23,A02_51_201608,1
LOTTE PEPERO 巧克力棒,583,超市/量販,7-11,0.294117647058824,39,3,102,A02_51_201610,20,A02_51_201610,1
高雄義大百貨,1000,百貨,高雄義大百貨,0.337962962962963,38,3,108,A08_34_201606,5,A08_34_201606,1
ibon mart 統一超商線上購物中心,1000,超市/量販,統一超商,0.306122448979592,39,3,49,A08_66_201606,20,A08_66_201606,1
?啦雞腿堡+香酥脆薯(小)+無糖茉莉綠茶(中)乙份,2317,餐飲,KFC,0.5,35,5,0,A02_88_201610,23,A02_36_201606,1
亞洲萬里通里數,1000,旅遊,亞洲萬里通,0.312680710450227,36,3,2421,A03_3_201606,11,A03_3_201606,1
午茶組二選一,1933,餐飲,丹堤咖啡,0.176470588235294,41,4,187,A02_47_201608,23,A02_31_201606,1
摩斯鱈魚堡+冰紅茶(L)乙份,1850,餐飲,摩斯漢堡,0.176229508196721,41,4,244,A02_42_201608,23,A02_29_201606,1
總匯吉士火烤雞腿堡豪華套餐,3250,餐飲,喜客券漢堡王,0.306818181818182,38,5,132,A02_59_201608,23,A02_59_201608,1
芬達旅行社,1000,旅遊,芬達旅行社,0.388888888888889,37,3,9,A08_81_201606,11,A08_81_201606,1
蕃茄吉士蛋堡+冰紅茶(L)乙份,1200,餐飲,摩斯漢堡,0.203488372093023,41,4,344,A02_21_201608,23,A02_12_201606,1
台南德安百貨,1000,百貨,台南德安百貨,0.358823529411765,40,3,85,A08_30_201606,5,A08_30_201606,1
新月豪華影城,1000,休閒,新月豪華影城,0.355054811205847,36,3,821,A04_5_201606,4,A04_5_201606,1
鮮奶烏龍茶(大杯),1267,餐飲,喜客券翰林茶棧 ,0.209923664122137,39,4,131,A02_24_201608,23,A02_24_201608,1
明曜百貨,1000,百貨,明曜百貨,0.34070796460177,36,3,113,A08_9_201606,5,A08_9_201606,1
富連網,1000,3C通訊家電,富連網,0.266666666666667,38,3,15,A08_73_201606,1,A08_73_201606,1
國泰健康管理顧問現金抵用券,84000,醫療救護/整型,國泰,0.343949044585987,39,5,314,A08_84_201606,24,A08_84_201606,1
台灣自來水水費,1000,公共事業費用,水費,0.287613715885234,39,3,1429,A06_5_201606,17,A06_5_201606,1
超值早餐49元現金抵用券,817,超市/量販,7-11,0.201310043668122,43,3,1145,A12_40_201606,20,A12_40_201606,1
friDay購物,1000,一般購物(其他),friDay購物,0.39041095890411,38,3,73,A08_72_201606,14,A08_72_201606,1
聲寶,1000,3C通訊家電,聲寶,0.258064516129032,42,3,31,A08_74_201606,1,A08_74_201606,1
黃金炸蝦堡+冰紅茶(L),1933,餐飲,摩斯漢堡,0.207272727272727,40,4,275,A02_46_201608,23,A02_33_201606,1
義美紅豆牛奶冰棒,417,超市/量販,7-11,0.304093567251462,46,2,171,A12_13_201606,20,A12_13_201606,1
VIVI PARK市區停車,550,交通/運輸,停車,0.290229885057471,42,3,174,A03_10_201606,3,A03_10_201606,1
歐舒丹,1000,美容/美髮/保養,歐舒丹,0.107843137254902,38,3,102,A08_42_201606,9,A08_42_201606,1
翡翠奶珍珠(大杯),1350,餐飲,喜客券翰林茶棧 ,0.22972972972973,39,4,148,A02_28_201608,23,A02_28_201608,1
多力多滋黃金起司,417,超市/量販,7-11,0.257575757575758,38,2,165,A02_46_201610,20,A02_46_201610,1
茶裏王日式綠茶PET600,333,超市/量販,7-11,0.3184421534937,43,2,873,A12_12_201606,20,A12_12_201606,1
香酥脆薯(小)乙份,483,餐飲,KFC,0.296915167095116,39,2,389,A02_90_201610,23,A02_1_201606,1
孔雀香酥脆香魚大,333,超市/量販,7-11,0.22289156626506,43,2,249,A12_10_201606,20,A12_10_201606,1
